,"ukr","en","NOTES – use \n for newline","max length"
"input_xboxbutton_12","Button #13","Button #13","XBox 360 controller buttons",
"input_xboxbutton_13","Button #14","Button #14","XBox 360 controller buttons",
"input_xboxbutton_14","Button #15","Button #15","XBox 360 controller buttons",
"input_xboxbutton_15","Button #16","Button #16","XBox 360 controller buttons",
"input_xboxbutton_left_stick_left","Left stick left","Left stick left","XBox 360 controller buttons",
"input_xboxbutton_left_stick_right","Left stick right","Left stick right","XBox 360 controller buttons",
"input_xboxbutton_left_stick_up","Left stick up","Left stick up","XBox 360 controller buttons",
"input_xboxbutton_left_stick_down","Left stick down","Left stick down","XBox 360 controller buttons",
"input_xboxbutton_right_stick_left","Right stick left","Right stick left","XBox 360 controller buttons",
"input_xboxbutton_right_stick_right","Right stick right","Right stick right","XBox 360 controller buttons",
"input_xboxbutton_right_stick_up","Right stick up","Right stick up","XBox 360 controller buttons",
"input_xboxbutton_right_stick_down","Right stick down","Right stick down","XBox 360 controller buttons",
"input_xboxbutton_analog_00","Left trigger","Left trigger","XBox 360 controller buttons",
"input_xboxbutton_analog_01","Right trigger","Right trigger","XBox 360 controller buttons",
"input_xboxbutton_analog_02","Analog button #3","Analog button #3","XBox 360 controller buttons",
"input_xboxbutton_analog_03","Analog button #4","Analog button #4","XBox 360 controller buttons",
"input_xboxbutton_analog_04","Analog button #5","Analog button #5","XBox 360 controller buttons",
"input_xboxbutton_analog_05","Analog button #6","Analog button #6","XBox 360 controller buttons",
"input_xboxbutton_analog_06","Analog button #7","Analog button #7","XBox 360 controller buttons",
"input_xboxbutton_analog_07","Analog button #8","Analog button #8","XBox 360 controller buttons",
"input_xboxbutton_analog_08","Analog button #9","Analog button #9","XBox 360 controller buttons",
"input_xboxbutton_analog_09","Analog button #10","Analog button #10","XBox 360 controller buttons",
"input_leftshift","left shift","left shift","keyboard inputs",
"input_rightshift","right shift","right shift","keyboard inputs",
"controls_aim_stick","aim","aim","for options menu - rebinding controller actions",
"controls_drop_item","(UI) drop item","(UI) drop item","for options menu - rebinding controller actions",
"controls_drink_potion","(UI) drink potion","(UI) drink potion","for options menu - rebinding controller actions",
"controls_ui_confirm","(UI) confirm","(UI) confirm","for options menu - rebinding controller actions",
"controls_ui_drag","(UI) drag","(UI) drag","for options menu - rebinding controller actions",
"controls_takescreenshot","take screenshot","take screenshot","label for rebinding keys in options",
"controls_ui_quick_drag","(UI) auto drag","(UI) auto drag","for options menu - rebinding dragging modifier",
"perk_adventurer","Healthy Exploration","Healthy Exploration",,
"perkdesc_adventurer","Every time you visit a new area, you regain 60 health.","Every time you visit a new area, you regain 60 health.",,
"log_adventurer","New area reached! You regain 60 health.","New area reached! You regain 60 health.",,
"action_damage_forever","Mana To Damage","Mana To Damage",,
"actiondesc_damage_forever","If the wand has more than 50 mana, all mana over that is converted into additional damage","If the wand has more than 50 mana, all mana over that is converted into additional damage",,
"action_homing_area","Projectile Area Teleport","Projectile Area Teleport",,
"actiondesc_homing_area","If a valid target appears somewhere in the proximity of a projectile, the projectile will teleport right on top of the target","If a valid target appears somewhere in the proximity of a projectile, the projectile will teleport right on top of the target",,
"animal_snowcrystal","Haamukivi","Haamukivi","Transliterate",
"ethereal_damage","Ghostly touch","Ghostly touch",,
"animal_ethereal_being","Olematon","Olematon","Transliterate",
"perkdesc_exploding_gold","Gold dropped by enemies explodes when it disappears, is picked up or touched by other enemies!","Gold dropped by enemies explodes when it disappears, is picked up or touched by other enemies!",,
"action_bomb_detonator","Explosive Detonator","Explosive Detonator",,
"actiondesc_bomb_detonator","All nearby explosive spells cast by you instantly detonate","All nearby explosive spells cast by you instantly detonate",,
"logdesc_temple_upgrade_guardian","The Gods are enraged","The Gods are enraged",,
"screenshot_saved","Saved a screenshot to $0","Saved a screenshot to $0","debugish message, used to tell the player that a screenshot has been taken and saved to a location on the disk",
"item_wand_ruusu","Ruusu","Ruusu","Transliterate",
"action_orbit_discs","Sawblade Orbit","Sawblade Orbit",,
"actiondesc_orbit_discs","Makes four sawblades rotate around a projectile","Makes four sawblades rotate around a projectile",,
"action_orbit_fireballs","Fireball Orbit","Fireball Orbit",,
"actiondesc_orbit_fireballs","Makes four fireballs rotate around a projectile","Makes four fireballs rotate around a projectile",,
"action_orbit_nukes","Nuke Orbit","Nuke Orbit",,
"actiondesc_orbit_nukes","Makes four… nukes(?!) rotate around a projectile","Makes four… nukes(?!) rotate around a projectile",,
"action_orbit_lasers","Plasma Beam Orbit","Plasma Beam Orbit",,
"actiondesc_orbit_lasers","Makes four plasma beams rotate around a projectile","Makes four plasma beams rotate around a projectile",,
"action_orbit_larpa","Orbit Larpa","Orbit Larpa",,
"actiondesc_orbit_larpa","Makes four copies of a projectile rotate around it","Makes four copies of a projectile rotate around it",,
"actiondesc_delta","Casts a copy of the next spell in your wand","Casts a copy of the next spell in your wand",,
"actiondesc_gamma","Casts a copy of the last spell in your wand","Casts a copy of the last spell in your wand",,
"log_greed_curse_away","The crystal shatters!","The crystal shatters!",,
"logdesc_greed_curse_away","The curse has gone away, but so have the treasures it grants.","The curse has gone away, but so have the treasures it grants.",,
"log_greed_curse_return","The curse has reactivated!","The curse has reactivated!",,
"action_slow_but_steady","Slow But Steady","Slow But Steady",,
"actiondesc_slow_but_steady","The reload time of the wand is set to exactly 1.5 seconds","The reload time of the wand is set to exactly 1.5 seconds",,
"actiondesc_tiny_ghost","Summons a tiny ethereal being to your help. It may cast stronger spells depending on how much damage you have suffered.","Summons a tiny ethereal being to your help. It may cast stronger spells depending on how much damage you have suffered.","The first sentence has already been translated previously. Second sentence is new.",
"item_wandstone","Sauvan Ydin","Sauvan Ydin","Transliterate",
"itemdesc_wandstone","This artefact can open the potential of wands to you even without perks...","This artefact can open the potential of wands to you even without perks...",,
"item_greed_die","Greed Die","Greed Die",,
"itemdesc_greed_die","The name may be more apt than one thinks.","The name may be more apt than one thinks.",,
"item_greed_die_good","Enjoy your riches!","Enjoy your riches!",,
"item_greed_die_bad","Gotcha!","Gotcha!",,
"mat_gem_box2d_turquoise","Turquoise gemstone","Turquoise gemstone",,
"item_powder_stash","Material box","Material box",,
"itemdesc_powder_stash","A handy box for carrying powdery materials.","A handy box for carrying powdery materials.",,
"item_powder_stash_2","Bag","Bag",,
"itemdesc_powder_stash_2","A handy bag for carrying powdery materials.","A handy bag for carrying powdery materials.",,
"item_powder_stash_3","Powder pouch","Powder pouch",,
"itemdesc_powder_stash_3","A handy pouch for carrying powdery materials.","A handy pouch for carrying powdery materials.",,
"item_powder_stash_4","Sack","Sack",,
"itemdesc_powder_stash_4","A handy sack for carrying powdery materials.","A handy sack for carrying powdery materials.",,
"item_powder_stash_with_material","$0 box","$0 box",,
"item_powder_stash_with_material_2","$0 bag","$0 bag",,
"item_powder_stash_with_material_3","$0 pouch","$0 pouch",,
"item_powder_stash_with_material_4","$0 sack","$0 sack",,
"perk_hungry_ghost","Hungry Ghost","Hungry Ghost",,
"perkdesc_hungry_ghost","Summons a happy minion who'll eat enemy projectile every now and then, and grant you temporary extra damage.","Summons a happy minion who'll eat enemy projectile every now and then, and grant you temporary extra damage.",,
"status_damage_plus_small","Damage Boost","Damage Boost",,
"statusdesc_damage_plus_small","Your damage is boosted slightly for a time.","Your damage is boosted slightly for a time.",,
"item_runestone_metal","Runestone of Metal","Runestone of Metal",,
"perk_death_ghost","Mournful Spirit","Mournful Spirit",,
"perkdesc_death_ghost","Dying creatures leave behind a spirit that deals damage in a small area.","Dying creatures leave behind a spirit that deals damage in a small area.",,
"perk_risky_critical","Close Call","Close Call",,
"perkdesc_risky_critical","You gain additional chance to deal critical hits as long as there are enemies near you.","You gain additional chance to deal critical hits as long as there are enemies near you.",,
"action_curse","Venomous Curse","Venomous Curse",,
"actiondesc_curse","Imbues a projectile with a curse that makes the target hit by the projectile to waste away","Imbues a projectile with a curse that makes the target hit by the projectile to waste away",,
"damage_hitfx_curse","Venomous Curse","Venomous Curse",,
"action_exploding_ducks","Flock of Ducks","Flock of Ducks",,
"actiondesc_exploding_ducks","Summons a chaotic flock of spicy ducks","Summons a chaotic flock of spicy ducks",,
"action_money_magic","Gold to Power","Gold to Power",,
"actiondesc_money_magic","Spends 5% of your current gold and adds damage to a projectile proportional to the amount spent","Spends 5% of your current gold and adds damage to a projectile proportional to the amount spent",,
"perkdesc_hungry_ghost","Summons a happy minion who'll eat enemy projectile every now and then.","Summons a happy minion who'll eat enemy projectile every now and then.",,
"menuoptions_gamepad_analog_flying","Gamepad analog flying: $0","Gamepad analog flying: $0","Please confirm, that these are correct. Previous translations lacked the ': $0' -part from the end",
"inventory_mod_damage_ice","Dmg. Ice","Dmg. Ice","for ui some spells add damage type ice, see e.g. the entry for inventory_dmg_ice",
"inventory_mod_damage_slice","Dmg. Slice","Dmg. Slice","for ui, some spells add damage type ice, see e.g. the entry for inventory_mod_damage_fire",
"inventory_mod_damage_healing","Dmg. Healing","Dmg. Healing","for ui, some spells add healing ''damage'', see e.g. the entry for inventory_mod_damage_fire",
"inventory_mod_damage_curse","Dmg. Curse","Dmg. Curse","for ui, some spells add damage type curse, see e.g. the entry for inventory_mod_damage_fire",
"inventory_mod_damage_drill","Dmg. Drill","Dmg. Drill","for ui, some spells add damage type curse, see e.g. the entry for inventory_dmg_drill",
"inventory_dmg_healing","Dmg. Healing","Dmg. Healing","for ui, ''damage'' type for healing, see e.g. the entry for inventory_dmg_ice",
"inventory_dmg_curse","Dmg. Curse","Dmg. Curse","for ui, damage type curse, see e.g. the entry for inventory_dmg_ice",
"status_curse_wither_projectile","Weakening Curse - Projectiles","Weakening Curse - Projectiles",,
"statusdesc_curse_wither_projectile","You take 25% extra damage from projectiles.","You take 25% extra damage from projectiles.",,
"status_curse_wither_explosion","Weakening Curse - Explosives","Weakening Curse - Explosives",,
"statusdesc_curse_wither_explosion","You take 25% extra damage from explosions.","You take 25% extra damage from explosions.",,
"status_curse_wither_melee","Weakening Curse - Melee","Weakening Curse - Melee",,
"statusdesc_curse_wither_melee","You take 25% extra damage from melee attacks.","You take 25% extra damage from melee attacks.",,
"status_curse_wither_electricity","Weakening Curse - Electricity","Weakening Curse - Electricity",,
"statusdesc_curse_wither_electricity","You take 25% extra damage from electricity.","You take 25% extra damage from electricity.",,
"action_curse_wither_projectile","Weakening Curse - Projectiles","Weakening Curse - Projectiles",,
"actiondesc_curse_wither_projectile","Target hit by a projectile takes 25% extra projectile damage for a time","Target hit by a projectile takes 25% extra projectile damage for a time",,
"action_curse_wither_explosion","Weakening Curse - Explosives","Weakening Curse - Explosives",,
"actiondesc_curse_wither_explosion","Target hit by a projectile takes 25% extra explosion damage for a time","Target hit by a projectile takes 25% extra explosion damage for a time",,
"action_curse_wither_melee","Weakening Curse - Melee","Weakening Curse - Melee",,
"actiondesc_curse_wither_melee","Target hit by a projectile takes 25% extra melee damage for a time","Target hit by a projectile takes 25% extra melee damage for a time",,
"action_curse_wither_electricity","Weakening Curse - Electricity","Weakening Curse - Electricity",,
"actiondesc_curse_wither_electricity","Target hit by a projectile takes 25% extra electricity damage for a time","Target hit by a projectile takes 25% extra electricity damage for a time",,
"action_worm_shot","Worm Launcher","Worm Launcher",,
"actiondesc_worm_shot","Summons a giant worm to cause havoc for a moment!","Summons a giant worm to cause havoc for a moment!",,
"action_black_hole_death_trigger","Black Hole with Death Trigger","Black Hole with Death Trigger",,
"actiondesc_black_hole_death_trigger","A slow orb of void that eats through all obstacles and casts another spell as it expires","A slow orb of void that eats through all obstacles and casts another spell as it expires",,
"perk_food_clock","Eat Your Vegetables","Eat Your Vegetables",,
"perk_food_clock_2","Food Clock","Food Clock","Reference to the “hunger clock”/”food clock” game mechanic in roguelike games: https://www.gridsagegames.com/blog/2014/12/importance-roguelike-food-clocks/",
"perkdesc_food_clock","You inflict more damage the more satiated you are, but you start losing health if your stomach is empty.","You inflict more damage the more satiated you are, but you start losing health if your stomach is empty.",,
"damage_hunger","Hunger","Hunger",,
"mat_porridge","Hearty Porridge","Hearty Porridge",,
"log_greed_curse_away_short","The curse dissipates for now...","The curse dissipates for now...",,
"logdesc_greed_curse_away_short","...but it will be back!","...but it will be back!",,
"animal_parallel_alchemist","Alkemistin Varjo","Alkemistin Varjo","Transliterate",
"animal_parallel_tentacles","Kolmisilmän Kätyri","Kolmisilmän Kätyri","Transliterate",
"animal_hpcrystal","Elvytyskristalli","Elvytyskristalli","Transliterate",
"status_rainbow_farts","Rainbow farts","Rainbow farts",,
"statusdesc_rainbow_farts","Open your eyes, I see\nYour eyes are open\nWear no disguise for me\nCome into the open\n","Open your eyes, I see\nYour eyes are open\nWear no disguise for me\nCome into the open\n","Transliterate",
"mat_rainbow","Rainbow","Rainbow",,
"mat_rainbow_gas","Unicorn farts","Unicorn farts",,
"action_rainbow_trail","Rainbow trail","Rainbow trail",,
"actiondesc_rainbow_trail","Gives a projectile a trail of rainbow","Gives a projectile a trail of rainbow",,
"item_gold_orb","Shiny orb","Shiny orb",,
"itemdesc_gold_orb","It hums slightly. What happens if you kick it, you wonder...","It hums slightly. What happens if you kick it, you wonder...",,
"item_stonestone","Tannerkivi","Tannerkivi","Transliterate",
"itemdesc_stonestone","It looks like it could stand the test of aeons.","It looks like it could stand the test of aeons.",,
"log_dark_moon_altar_extra","Heretic!","Heretic!",,
"logdesc_dark_moon_altar_extra","How dare you do this!","How dare you do this!",,
"log_dark_moon_altar","”From my blood...”","”From my blood...”",,
"logdesc_dark_moon_altar","from my blood... from my blood... from my blood... from my blood...","from my blood... from my blood... from my blood... from my blood...",,
"mat_steelrusted","rusted steel","rusted steel",,
"stat_streaks","Streaks:","Streaks:","see e.g. stat_depth. This is stat that keeps track of how many times in a row player has beaten the game. Streaks is the common english gaming lingo phrase ",
"streamingevent_areadamage_player","Friendly Contact Damage","Friendly Contact Damage",,
"streamingeventdesc_areadamage_player","You gain a field that deals damage to nearby enemies for a time.","You gain a field that deals damage to nearby enemies for a time.",,
"streamingevent_areadamage_enemy","Enemy Contact Damage","Enemy Contact Damage",,
"streamingeventdesc_areadamage_enemy","Enemies near you gain fields that deal damage to you if you get close.","Enemies near you gain fields that deal damage to you if you get close.",,
"perk_worm_smaller_holes","Feared by Worms","Feared by Worms",,
"perkdesc_worm_smaller_holes","Worms run away from you, and worm and lukki enemies no longer destroy terrain while burrowing.","Worms run away from you, and worm and lukki enemies no longer destroy terrain while burrowing.",,
"animal_necrobot","Tuonelankone","Tuonelankone","Transliterate",
"animal_necrobot_super","Marraskone","Marraskone","Transliterate",
"animal_minipit","Pienkätyri","Pienkätyri","Transliterate",
"actiondesc_heal_bullet","A magical bolt with rejuvenative powers","A magical bolt with rejuvenative powers",,
"perkdesc_no_more_shuffle","Most of the wands will be non shuffling. The wands you carry with you turn into non-shufflers too.","Most of the wands will be non shuffling. The wands you carry with you turn into non-shufflers too.","updated the description",
"progress_killed_by","Killed by: $0","Killed by: $0","for progress menu - shows how many times player has been killed by the enemy",
"animal_scavenger_glue","Liimahiisi","Liimahiisi","Transliterate",
"mat_glue","Glue","Glue",,
"item_sunseed","Auringonsiemen","Auringonsiemen","Transliterate",
"itemdesc_sunseed","It glows, full of promise.","It glows, full of promise.",,
"animal_boss_ghost","Unohdettu","Unohdettu","Transliterate",
"animal_boss_ghost_polyp","Häive","Häive","Transliterate",
"action_remove_bounce","Remove Bounce","Remove Bounce",,
"actiondesc_remove_bounce","A normally bouncy projectile stops doing so","A normally bouncy projectile stops doing so",,
"biome_ghost_secret","Forgotten cave","Forgotten cave",,
"hint_endingmcguffin_enter_newgameplus","Press $0 to enter New Game$1","Press $0 to enter New Game$1","New Game$1 -> New Game+ or ++ or +++...",
"biome_winter_caves","Snowy Chasm","Snowy Chasm",,
"item_mcguffin_33","Amulet of Yendor","Amulet of Yendor","Reference to Nethack or Rogue",
"itemdesc_mcguffin_33","It is said to possess powers which mere mortals can scarcely comprehend, let alone utilize","It is said to possess powers which mere mortals can scarcely comprehend, let alone utilize",,
"action_glue_shot","Glue Ball","Glue Ball",,
"actiondesc_glue_shot","A projectile that explodes into a sticky mess","A projectile that explodes into a sticky mess",,
"action_petrify","Petrify","Petrify",,
"actiondesc_petrify_a","Turns a wounded enemy into stone","Turns a wounded enemy into stone",,
"actiondesc_petrify_b","A critical hit turns an enemy into stone","A critical hit turns an enemy into stone",,
"actiondesc_petrify_c","A critical hit turns a wounded enemy into stone","A critical hit turns a wounded enemy into stone",,
"perk_gamble","Gamble (One-off)","Gamble (One-off)",,
"perkdesc_gamble","You gain two random perks.","You gain two random perks.",,
"item_wand_riimusauva","Riimusauva","Riimusauva","Transliterate",
"item_wand_arpaluu","Arpaluu","Arpaluu","Transliterate",
"item_wand_varpuluuta","Varpuluuta","Varpuluuta","Transliterate",
"animal_surge","Sähikäinen","Sähikäinen","Transliterate",
"animal_spiderbot","Rautalukki","Rautalukki","Transliterate",
"animal_piranha","Kyrmyniska","Kyrmyniska","Transliterate",
"animal_fish_giga","Syväolento","Syväolento","Transliterate",
"action_worm_shot_big","Giga Worm Launcher","Giga Worm Launcher",,
"actiondesc_worm_shot_big","Summons a massive worm to cause havoc for a moment!","Summons a massive worm to cause havoc for a moment!",,
"action_fan","Projectile Fan","Projectile Fan",,
"actiondesc_fan","Pushes incoming projectiles away in a narrow cone formation","Pushes incoming projectiles away in a narrow cone formation",,
"perk_fungal_disease","Fungal Disease","Fungal Disease",,
"perkdesc_fungal_disease","When near danger, you sprout fungal growths.","When near danger, you sprout fungal growths.",,
"perk_lukki_minion","Lukki Minion","Lukki Minion","Transliterate ”lukki”",
"perkdesc_lukki_minion","Summons a lukki minion to your help.","Summons a lukki minion to your help.",,
"perk_angry_levitation","Rage-fueled Levitation","Rage-fueled Levitation",,
"perkdesc_angry_levitation","Killing an enemy makes you replenish some of your levitation power.","Killing an enemy makes you replenish some of your levitation power.",,
"perk_destructive_spells","Destructive Magic","Destructive Magic",,
"perkdesc_destructive_spells","Your spells destroy ground more efficiently.","Your spells destroy ground more efficiently.",,
"perk_mold","Fungal Colony","Fungal Colony",,
"perkdesc_mold","Slime near you spontaneously turns into fungal creatures.","Slime near you spontaneously turns into fungal creatures.",,
"perk_cordyceps","Cordyceps","Cordyceps","Name of a real-life fungus",
"perkdesc_cordyceps","Fungal creatures spawn from the corpses of enemies killed by you.","Fungal creatures spawn from the corpses of enemies killed by you.",,
"action_pollen","Pollen","Pollen",,
"actiondesc_pollen","A small, floating projectile that homes towards nearby creatures","A small, floating projectile that homes towards nearby creatures",,
"action_homing_short","Short-range Homing","Short-range Homing",,
"actiondesc_homing_short","A projectile flies towards targets when near them","A projectile flies towards targets when near them",,
"animal_fungus_giga","Kärpässieni","Kärpässieni","Transliterate",
"animal_fungus_nest","Rihmasto","Rihmasto","Transliterate",
"log_new_step","A transformation happens!","A transformation happens!",,
"logdesc_new_step","Something has changed...","Something has changed...",,
"item_seed_b","Auringonmuna","Auringonmuna","Transliterate",
"itemdesc_seed_b","It glows with high intensity now...","It glows with high intensity now...",,
"item_seed_c","Aurinkokivi","Aurinkokivi","Transliterate",
"itemdesc_seed_c","The essence of the Sun, crystallized.","The essence of the Sun, crystallized.",,
"item_seed_d","Tähdenpoikanen","Tähdenpoikanen","Transliterate",
"itemdesc_seed_d","It's still not fully grown but radiates heat.","It's still not fully grown but radiates heat.",,
"item_seed_e","Uusi Aurinko","Uusi Aurinko","Transliterate",
"itemdesc_seed_e","It is done","It is done",,
"material_mold","Mold","Mold",,
"material_cloth","Cloth","Cloth",,
"biome_robobase","Power plant","Power plant","”plant” as in ”station”",
"biome_fun","Overgrown cavern","Overgrown cavern",,
"item_book_music_b","Research Notes","Research Notes",,
"itemdesc_book_music_b","”One in the lake\nOne in the tree\nOne on the island\nOne under the sun”","”One in the lake\nOne in the tree\nOne on the island\nOne under the sun”",,
"item_book_music","Alchemist's Notebook","Alchemist's Notebook",,
"itemdesc_book_music","”The one below listens to my songs...\n \nG D# G E A\n \nE C B G# F”","”The one below listens to my songs...\n \nG D# G E A\n \nE C B G# F”","Leave the letters as-is (musical notes)",
"animal_sentry","Tarkkailija","Tarkkailija","Transliterate",
"animal_neutralizer","Pysäyttäjä","Pysäyttäjä","Transliterate",
"animal_hidden","Vakoilija","Vakoilija","Transliterate",
"animal_soldier","Teloittaja","Teloittaja","Transliterate",
"item_book_s_a","Notes on Grand Alchemy","Notes on Grand Alchemy",,
"itemdesc_book_s_a","”Among the great Alchemical endeavours there are some that,\nwhile not equal to the Great Work, nonetheless are revered greatly\nfor the deific potence they instill to whomsoever succeeds\nin harnessing their Power.\n\nThe One I am to discuss calls for a Seed of great promise, hidden deep within the Soil of this Earth...”","”Among the great Alchemical endeavours there are some that,\nwhile not equal to the Great Work, nonetheless are revered greatly\nfor the deific potence they instill to whomsoever succeeds\nin harnessing their Power.\n\nThe One I am to discuss calls for a Seed of great promise, hidden deep within the Soil of this Earth...”",,
"itemdesc_book_s_b","”...Bring the slumbering Seed to life by letting it soak in the rays of the Sun, on the pinnacle of past civilizations...”","”...Bring the slumbering Seed to life by letting it soak in the rays of the Sun, on the pinnacle of past civilizations...”",,
"itemdesc_book_s_c","”...The Alchemical process requires great Fire and Heat; for this purpose,\nlay the Stone in Fiery Earth and bring forth its transformation with great magical Heat of Destruction...”","”...The Alchemical process requires great Fire and Heat; for this purpose,\nlay the Stone in Fiery Earth and bring forth its transformation with great magical Heat of Destruction...”",,
"itemdesc_book_s_d","”...Once finished, It will sustain life; to this end, its Creation asks for a substantial amount\nof Life Force. Let the Egg engulf One Hundred of your Foes and drink their Blood...”","”...Once finished, It will sustain life; to this end, its Creation asks for a substantial amount\nof Life Force. Let the Egg engulf One Hundred of your Foes and drink their Blood...”",,
"itemdesc_book_s_e","”...As a final step, imbue the Youngling with the crystallized Essences of\nthe Four Elements. But beware, for the Youngling is susceptible to corruptive influence...”","”...As a final step, imbue the Youngling with the crystallized Essences of\nthe Four Elements. But beware, for the Youngling is susceptible to corruptive influence...”",,
"item_book_music_c","Book of the Key","Book of the Key",,
"itemdesc_book_music_c","”Once the Key has listened to you, bring it home...\nOne home in the sky, beyond the invisible steps...\nOne home in the underworld, below seas of magma...”","”Once the Key has listened to you, bring it home...\nOne home in the sky, beyond the invisible steps...\nOne home in the underworld, below seas of magma...”",,
"item_book_robot","Musings of an Adventurer","Musings of an Adventurer",,
"itemdesc_book_robot","”This machinery is unlike any I've seen before. Did the Hiisi create it? Or was it always here?”","”This machinery is unlike any I've seen before. Did the Hiisi create it? Or was it always here?”",,
"item_d12","12-sided Die","12-sided Die",,
"itemdesc_d12","More sides, more potential rewards!","More sides, more potential rewards!",,
"action_knife_ring","Ring of Knives","Ring of Knives",,
"actiondesc_knife_ring","A shrinking ring of 8 knives is summoned","A shrinking ring of 8 knives is summoned",,
"action_iceball","Iceball","Iceball",,
"actiondesc_iceball","A magical ball of frozen fire","A magical ball of frozen fire",,
"item_d12_greed","12-sided Greed Die","12-sided Greed Die",,
"itemdesc_d12_greed","Better not!","Better not!",,
"item_book_moon","Book of Celestial Bodies","Book of Celestial Bodies",,
"itemdesc_book_moon","”As with everything else, every celestial body also has its counterpart.\nFor every golden star is a dark enigma, and for every silvery moon there is a hollow shadow.”","”As with everything else, every celestial body also has its counterpart.\nFor every golden star is a dark enigma, and for every silvery moon there is a hollow shadow.”",,
"perk_minion_powerup","Powerful Minions","Powerful Minions",,
"perkdesc_minion_powerup","Any minions spawned to your aid have increased damage output and health.","Any minions spawned to your aid have increased damage output and health.",,
"item_seed_f","Pimeä Aurinko","Pimeä Aurinko","Transliterate",
"itemdesc_seed_f","Something went wrong...!","Something went wrong...!",,
"logdesc_new_step_b","Everything is not right here...","Everything is not right here...",,
"perk_map","Spatial Awareness","Spatial Awareness",,
"perkdesc_map","If you stop for a moment, you can sense your location relative to the Mountain.","If you stop for a moment, you can sense your location relative to the Mountain.",,
"biome_underwater","Sunken cavern","Sunken cavern",,
"log_collision_1","It is gone","It is gone",,
"logdesc_collision_1","The old are devoured for the new to take their place","The old are devoured for the new to take their place",,
"log_collision_2","As Above, So Below...","As Above, So Below...",,
"logdesc_collision_2","The new heart of the world is at balance","The new heart of the world is at balance",,
"log_collision_3","As Above, So Below, but...","As Above, So Below, but...",,
"logdesc_collision_3","The new heart of the world grows with corruption at its center","The new heart of the world grows with corruption at its center",,
"item_goldnugget_200000","Golden Idol (200000)","Golden Idol (200000)",,
"item_bloodmoney_200000","Bloody golden Idol (200000)","Bloody golden Idol (200000)",,
"NEWTEXTSINCE20210216",,,,
"action_tntbox","Summon Explosive Box","Summon Explosive Box",,
"actiondesc_tntbox","Summons a box of explosive matter","Summons a box of explosive matter",,
"action_tntbox_big","Summon Large Explosive Box","Summon Large Explosive Box",,
"actiondesc_tntbox_big","Summons a large box of explosive matter","Summons a large box of explosive matter",,
"streamingevent_all_access_teleport","Free-for-all Portals","Free-for-all Portals",,
"streamingeventdesc_all_access_teleport","Creatures near you gain the ability to enter the Holy Mountain portals.","Creatures near you gain the ability to enter the Holy Mountain portals.",,
"item_book_hint","Book of Guidance","Book of Guidance",,
"item_gold_orb_greed","Cruel Orb","Cruel Orb",,
"itemdesc_gold_orb_greed","It seems to trickle with blood...","It seems to trickle with blood...",,
"status_weaken_combined","Weakened","Weakened",,
"statusdesc_weaken_combined","Your resistances and protective perks are disabled temporarily.","Your resistances and protective perks are disabled temporarily.",,
"damage_sun","Valo","Valo","Transliterate",
"item_musicstone","Kuulokivi","Kuulokivi","Transliterate",
"itemdesc_musicstone","This artefact is covered in note-shaped engravings and is pulsing at a steady pace.\nIs that the sound of distant music?","This artefact is covered in note-shaped engravings and is pulsing at a steady pace.\nIs that the sound of distant music?",,
"damage_darksun","Pimeys","Pimeys","Transliterate",
"animal_fungus_tiny","Myrkkynääpikkä","Myrkkynääpikkä","Transliterate",
"perkdesc_mega_beam_stone","You gain an artefact that allows you to call the celestial rage.","You gain an artefact that allows you to call the celestial rage.",,
"animal_fungus_giga","Huhtasieni","Huhtasieni","Transliterate",
"animal_fungus_big","Nuijamalikka","Nuijamalikka","Transliterate",
"animal_fungus_tiny_perk","Sappitatti","Sappitatti","Transliterate",
"reward_sun","Benign sunshine!","Benign sunshine!",,
"action_sun","Summon A Sun","Summon A Sun",,
"actiondesc_sun","Creates an immensely powerful entity; Can be cast only once","Creates an immensely powerful entity; Can be cast only once",,
"action_darksun","Summon A Dark Sun","Summon A Dark Sun",,
"actiondesc_darksun","Creates an immensely powerful entity; Can be cast only once","Creates an immensely powerful entity; Can be cast only once",,
"achievement_excavationsite","Reached Coal Pits","Reached Coal Pits","Biome name localized as: biome_excavationsite	Coal Pits	Угольные карьеры	Fossos de Carvão	Simas de carbón	Kohlebergwerke	Mines de charbon	Miniere di Carbone	Kopalnia węgla	煤矿矿坑	炭坑	석탄 구덩이",
"achievementdesc_excavationsite","Reached Coal Pits","Reached Coal Pits","Biome name localized as: biome_excavationsite	Coal Pits	Угольные карьеры	Fossos de Carvão	Simas de carbón	Kohlebergwerke	Mines de charbon	Miniere di Carbone	Kopalnia węgla	煤矿矿坑	炭坑	석탄 구덩이",
"achievement_snowcave","Reached Snowy Depths","Reached Snowy Depths","Biome name localized as: biome_snowcave	Snowy Depths	Снежные глубины	Profundezas Nevadas	Profundidades nevadas	Verschneite Tiefen	Profondeurs enneigées	Profondità Innevate	Śnieżne głębiny	积雪深渊	雪のどん底	눈 덮인 계곡		",
"achievementdesc_snowcave","Reached Snowy Depths","Reached Snowy Depths","Biome name localized as: biome_snowcave	Snowy Depths	Снежные глубины	Profundezas Nevadas	Profundidades nevadas	Verschneite Tiefen	Profondeurs enneigées	Profondità Innevate	Śnieżne głębiny	积雪深渊	雪のどん底	눈 덮인 계곡		",
