"","ukr","en","NOTES – use \n for newline","max length"
"streamingevent_areadamage_enemy","Voroža kontaktna škoda","Enemy Contact Damage","",""
"streamingeventdesc_areadamage_enemy","Voroğy poblyzu vas otrymujutj pole, ŝo zavdaje vam škody, jakŝo vy nadto blyzjko.","Enemies near you gain fields that deal damage to you if you get close.","",""
"perk_worm_smaller_holes","Žax xrobakiv","Feared by Worms","",""
"perkdesc_worm_smaller_holes","Xrobaky vtikajutj vid vas. Xrobaky ta lukki biljše ne rujnujutj miscevistj pid čas ryttja.","Worms run away from you, and worm and lukki enemies no longer destroy terrain while burrowing.","",""
"animal_necrobot","Tuonelankone","Tuonelankone","Transliterate",""
"animal_necrobot_super","Marraskone","Marraskone","Transliterate",""
"animal_minipit","Pienkätyri","Pienkätyri","Transliterate",""
"actiondesc_heal_bullet","Mağičnyj snarjad z ciljuŝymy vlastyvostjamy","A magical bolt with rejuvenative powers","",""
"perkdesc_no_more_shuffle","Biljšistj palyčok budutj bez tasuvannja. Palyčkam u vašomu inventari takož bude prybrano tasuvannja.","Most of the wands will be non shuffling. The wands you carry with you turn into non-shufflers too.","updated the description",""
"progress_killed_by","Vbyv vas: $0","Killed by: $0","for progress menu - shows how many times player has been killed by the enemy",""
"animal_scavenger_glue","Liimahiisi","Liimahiisi","Transliterate",""
"mat_glue","Klej","Glue","",""
"item_sunseed","Nasinnja sonjašnyku","Auringonsiemen","Transliterate",""
"itemdesc_sunseed","Vono svitytjsja, spovnene obicjanok.","It glows, full of promise.","",""
"animal_boss_ghost","Unohdettu","Unohdettu","Transliterate",""
"animal_boss_ghost_polyp","Häive","Häive","Transliterate",""
"action_remove_bounce","Prybyrannja vidskoku","Remove Bounce","",""
"actiondesc_remove_bounce","Snarjad, ŝo zazvyčaj maje vidskok, vtračaje joğo","A normally bouncy projectile stops doing so","",""
"biome_ghost_secret","Zabutoï pečery","Forgotten cave","",""
"hint_endingmcguffin_enter_newgameplus","Natysnitj $0, ŝob počaty Novu ğru$1","Press $0 to enter New Game$1","New Game$1 -> New Game+ or ++ or +++...",""
"biome_winter_caves","Snižnoï bezodni","Snowy Chasm","",""
"item_mcguffin_33","Amulet Jendora","Amulet of Yendor","Reference to Nethack or Rogue",""
"itemdesc_mcguffin_33","Kažutj, ŝo vin volodije syloju, jaku prosti smertni navrjad čy možutj osjağnuty, ne kažučy vže pro te, ŝob vykorystaty","It is said to possess powers which mere mortals can scarcely comprehend, let alone utilize","",""
"action_glue_shot","Klejova kulja","Glue Ball","",""
"actiondesc_glue_shot","Snarjad, jakyj vybuxaje, peretvorjuučysj na lypke misyvo","A projectile that explodes into a sticky mess","",""
"action_petrify","Skam'janinnja","Petrify","",""
"actiondesc_petrify_a","Peretvorjuje poranenoğo voroğa na kaminj","Turns a wounded enemy into stone","",""
"actiondesc_petrify_b","Krytyčne popadannja peretvorjuje voroğa na kaminj","A critical hit turns an enemy into stone","",""
"actiondesc_petrify_c","Krytyčne popadannja peretvorjuje poranenoğo voroğa na kaminj","A critical hit turns a wounded enemy into stone","",""
"perk_gamble","Azart (odnomomentno)","Gamble (One-off)","",""
"perkdesc_gamble","Vy otrymujete dvi vypadkovi zdibnosti.","You gain two random perks.","",""
"item_wand_riimusauva","Riimusauva","Riimusauva","Transliterate",""
"item_wand_arpaluu","Arpaluu","Arpaluu","Transliterate",""
"item_wand_varpuluuta","Varpuluuta","Varpuluuta","Transliterate",""
"animal_surge","Sähikäinen","Sähikäinen","Transliterate",""
"animal_spiderbot","Rautalukki","Rautalukki","Transliterate",""
"animal_piranha","Kyrmyniska","Kyrmyniska","Transliterate",""
"animal_fish_giga","Syväolento","Syväolento","Transliterate",""
"action_worm_shot_big","Super xrobakova ğarmata","Giga Worm Launcher","",""
"actiondesc_worm_shot_big","Vyklykaje masyvnoğo xrobaka, ŝob na mytj spryčynyty xaos!","Summons a massive worm to cause havoc for a moment!","",""
"action_fan","Vijalo snarjadiv","Projectile Fan","",""
"actiondesc_fan","Vidštovxuje snarjady, ŝo letjatj, u vyğljadi vuzjkoğo konusa","Pushes incoming projectiles away in a narrow cone formation","",""
"perk_fungal_disease","Ğrybkove zaxvorjuvannja","Fungal Disease","",""
"perkdesc_fungal_disease","Koly vy nablyžajetesja do nebezpeky, u vas z'javljajutjsja ğrybkovi narosty.","When near danger, you sprout fungal growths.","",""
"perk_lukki_minion","Posipaka-pavučok","Lukki Minion","Transliterate ”lukki”",""
"perkdesc_lukki_minion","Pryklykaje na dopomoğu pavučka.","Summons a lukki minion to your help.","",""
"perk_angry_levitation","Pidžyvlena ljuttju levitacija","Rage-fueled Levitation","",""
"perkdesc_angry_levitation","Vbyvajučy voroğa, vy popovnjujete častynu svojeï syly levitaciï.","Killing an enemy makes you replenish some of your levitation power.","",""
"perk_destructive_spells","Rujnivna mağija","Destructive Magic","",""
"perkdesc_destructive_spells","Vaši zaklynannja efektyvniše rujnujutj zemlju.","Your spells destroy ground more efficiently.","",""
"perk_mold","Ğrybkova kolonija","Fungal Colony","",""
"perkdesc_mold","Slyz poblyzu vas spontanno peretvorjujetjsja na ğrybkovyx istot.","Slime near you spontaneously turns into fungal creatures.","",""
"perk_cordyceps","Kordyceps","Cordyceps","Name of a real-life fungus",""
"perkdesc_cordyceps","Ğrybkovi istoty vidrodžujutjsja z trupiv ubytyx vamy voroğiv.","Fungal creatures spawn from the corpses of enemies killed by you.","",""
"action_pollen","Pylok","Pollen","",""
"actiondesc_pollen","Nevelykyj plavajučyj snarjad, jakyj letytj u bik najblyžčyx istot.","A small, floating projectile that homes towards nearby creatures","",""
"action_homing_short","Blyžnje samonavedennja","Short-range Homing","",""
"actiondesc_homing_short","Snarjad letytj do cili, perebuvajučy poruč z neju","A projectile flies towards targets when near them","",""
"animal_fungus_giga","Huhtasieni","Kärpässieni","Transliterate",""
"animal_fungus_nest","Rihmasto","Rihmasto","Transliterate",""
"log_new_step","Vidbulasja transformacija!","A transformation happens!","",""
"logdesc_new_step","Ŝosj zminylosja...","Something has changed...","",""
"item_seed_b","Auringonmuna","Auringonmuna","Transliterate",""
"itemdesc_seed_b","Teper vono svitytjsja z vysokoju intensyvnistju...","It glows with high intensity now...","",""
"item_seed_c","Aurinkokivi","Aurinkokivi","Transliterate",""
"itemdesc_seed_c","Esencija Soncja, vykrystalizovana.","The essence of the Sun, crystallized.","",""
"item_seed_d","Tähdenpoikanen","Tähdenpoikanen","Transliterate",""
"itemdesc_seed_d","Vono ŝe ne povnistju vyroslo, ale vže vyprominjuje teplo.","It's still not fully grown but radiates heat.","",""
"item_seed_e","Uusi Aurinko","Uusi Aurinko","Transliterate",""
"itemdesc_seed_e","Vono ğotove","It is done","",""
"material_mold","Forma","Mold","",""
"material_cloth","Polotno","Cloth","",""
"biome_robobase","Elektrostanciï","Power plant","”plant” as in ”station”",""
"biome_fun","Zarosloï pečery","Overgrown cavern","",""
"item_book_music_b","Doslidnycjki notatky","Research Notes","",""
"itemdesc_book_music_b","«Odyn v stavku\nOdyn na derevi\nOdyn na vidstupi\nOdyn pid soncem»","”One in the lake\nOne in the tree\nOne on the island\nOne under the sun”","",""
"item_book_music","Notatnyk Alximika","Alchemist's Notebook","",""
"itemdesc_book_music","«Toj, ŝo nyžče, sluxaje moï pisni...\n \nG D# G E A\n \nE C B G# F»","”The one below listens to my songs...\n \nG D# G E A\n \nE C B G# F”","Leave the letters as-is (musical notes)",""
"animal_sentry","Tarkkailija","Tarkkailija","Transliterate",""
"animal_neutralizer","Pysäyttäjä","Pysäyttäjä","Transliterate",""
"animal_hidden","Vakoilija","Vakoilija","Transliterate",""
"animal_soldier","Teloittaja","Teloittaja","Transliterate",""
"item_book_s_a","Notatky z Velykoï Alximiï","Notes on Grand Alchemy","",""
"itemdesc_book_s_a","«Sered velykyx Alximičnyx zveršenj je taki, jaki,\nxoč i ne rivni Velykomu Tvoru, vse ž duže šanujutjsja\nza božestvennu sylu, jaku vony darujutj tomu, xto dosjağne uspixu\nv osvojenni ïxnjoï Syly.\n\nToj, pro koğo ja budu ğovoryty, zaklykaje do Zerna velykoï nadiï, zaxovanoğo ğlyboko v grunti cijeï Zemli...»","”Among the great Alchemical endeavours there are some that,\nwhile not equal to the Great Work, nonetheless are revered greatly\nfor the deific potence they instill to whomsoever succeeds\nin harnessing their Power.\n\nThe One I am to discuss calls for a Seed of great promise, hidden deep within the Soil of this Earth...”","",""
"itemdesc_book_s_b","«...Probuditj Nasinnja zi snu, dozvolyvšy jomu vvibraty v sebe promeni Soncja, na veršyni mynulyx cyvilizacij...»","”...Bring the slumbering Seed to life by letting it soak in the rays of the Sun, on the pinnacle of past civilizations...”","",""
"itemdesc_book_s_c","«...Alximičnyj proces vymağaje velykoğo Voğnju i Tepla, dlja cjoğo\npokladitj Kaminj u Voğnennu Zemlju i proveditj joğo peretvorennja za dopomoğoju velykoğo mağičnoğo Tepla Rujnuvannja...»","”...The Alchemical process requires great Fire and Heat; for this purpose,\nlay the Stone in Fiery Earth and bring forth its transformation with great magical Heat of Destruction...”","",""
"itemdesc_book_s_d","«...Po zaveršennju, vono bude pidtrymuvaty žyttja; dlja cjoğo joğo Tvorinnja potrebuje značnoï kiljkosti\nŽyttjevoï Syly. Nexaj Jajce poğlyne SOTNJU tvoïx VOROĞIV i vyp'je ïxnju KROV...»","”...Once finished, It will sustain life; to this end, its Creation asks for a substantial amount\nof Life Force. Let the Egg engulf One Hundred of your Foes and drink their Blood...”","",""
"itemdesc_book_s_e","«...Jak ostannij krok, viddajte zarodku krystalizovani Sutnosti Čotyrjox Styxij.\nAle budjte oberežnymy, bo zarodok sxyljnyj do zğubnoğo vplyvu...»","”...As a final step, imbue the Youngling with the crystallized Essences of\nthe Four Elements. But beware, for the Youngling is susceptible to corruptive influence...”","",""
"item_book_music_c","Knyğa Ključa","Book of the Key","",""
"itemdesc_book_music_c","«Koly Ključ vysluxaje tebe, prynesy joğo dodomu...\nOdyn dim u nebi, za nevydymymy prostomu oku sxodamy...\nOdyn dim u pidzemnomu sviti, pid morjamy mağmy...»","”Once the Key has listened to you, bring it home...\nOne home in the sky, beyond the invisible steps...\nOne home in the underworld, below seas of magma...”","",""
"item_book_robot","Rozdumy mandrivnyka","Musings of an Adventurer","",""
"itemdesc_book_robot","«Cja mašyna ne sxoža na žodnu z tyx, ŝo ja bačyv raniše. Hiisi stvoryly ïï? Čy vona zavždy bula tut?»","”This machinery is unlike any I've seen before. Did the Hiisi create it? Or was it always here?”","",""
"item_d12","12-ğrannyj kubyk","12-sided Die","",""
"itemdesc_d12","Biljše storin — biljše potencijnyx nağorod!","More sides, more potential rewards!","",""
"action_knife_ring","Kiljce noživ","Ring of Knives","",""
"actiondesc_knife_ring","Vyklykaje kiljce z 8 noživ, ŝo zvužujetjsja","A shrinking ring of 8 knives is summoned","",""
"action_iceball","Kryžana kulja","Iceball","",""
"actiondesc_iceball","Mağična kulja zastyğloğo voğnju","A magical ball of frozen fire","",""
"item_d12_greed","12-ğrannyj žadibnyj kubyk","12-sided Greed Die","",""
"itemdesc_d12_greed","Kraŝe ne treba!","Better not!","",""
"item_book_moon","Knyğa nebesnyx til","Book of Celestial Bodies","",""
"itemdesc_book_moon","«Jak i vse inše, kožne nebesne tilo takož maje svoğo dvijnyka.\nZa kožnoju zolotoju zirkoju stoïtj temna zağadka, a za kožnym sribljastym misjacem — porožnja tinj.»","”As with everything else, every celestial body also has its counterpart.\nFor every golden star is a dark enigma, and for every silvery moon there is a hollow shadow.”","",""
"perk_minion_powerup","Moğutni popličnyky","Powerful Minions","",""
"perkdesc_minion_powerup","Budj-jaki minjjony, ŝo z'javljajutjsja vam na dopomoğu, majutj biljše zdorov'ja ta zavdajutj biljše škody.","Any minions spawned to your aid have increased damage output and health.","",""
"item_seed_f","Pimeä Aurinko","Pimeä Aurinko","Transliterate",""
"itemdesc_seed_f","Ŝosj pišlo ne tak...!","Something went wrong...!","",""
"logdesc_new_step_b","Tut vse ne tak...","Everything is not right here...","",""
"perk_map","Usvidomlennja prostoru","Spatial Awareness","",""
"perkdesc_map","Jakŝo zupynytysja na mytj, to možna vidčuty svoje misceznaxodžennja vidnosno Ğory.","If you stop for a moment, you can sense your location relative to the Mountain.","",""
"biome_underwater","Zatoplenoï pečery","Sunken cavern","",""
"log_collision_1","Vono znyklo","It is gone","",""
"logdesc_collision_1","Stare poğlynajetjsja, ŝob na joğo misce pryjšlo nove","The old are devoured for the new to take their place","",""
"log_collision_2","Jak vğori, tak i vnyzu...","As Above, So Below...","",""
"logdesc_collision_2","Nove serce svitu perebuvaje v rivnovazi","The new heart of the world is at balance","",""
"log_collision_3","Jak vğori, tak i vnyzu, ale...","As Above, So Below, but...","",""
"logdesc_collision_3","Nove serce svitu roste z porokom u joğo centri","The new heart of the world grows with corruption at its center","",""
"item_goldnugget_200000","Zolotyj idol (200000)","Golden Idol (200000)","",""
"item_bloodmoney_200000","Kryvavyj zolotyj idol (200000)","Bloody golden Idol (200000)","",""
"NEWTEXTSINCE20210216","","","",""
"action_tntbox","Stvorennja vybuxovoğo jaŝyka","Summon Explosive Box","",""
"actiondesc_tntbox","Stvorjuje korobku vybuxovoğo materialu","Summons a box of explosive matter","",""
"action_tntbox_big","Stvorennja velykoğo vybuxovoğo jaŝyka","Summon Large Explosive Box","",""
"actiondesc_tntbox_big","Stvorjuje velyku korobku vybuxovoğo materialu","Summons a large box of explosive matter","",""
"streamingevent_all_access_teleport","Denj vidkrytyx... portaliv","Free-for-all Portals","",""
"streamingeventdesc_all_access_teleport","Istoty, ŝo znaxodjatjsja poruč z vamy, otrymujutj možlyvistj vxodyty v portaly Svjatoï Ğory.","Creatures near you gain the ability to enter the Holy Mountain portals.","",""
"item_book_hint","Knyğa nastanov","Book of Guidance","",""
"item_gold_orb_greed","Žorstoka sfera","Cruel Orb","",""
"itemdesc_gold_orb_greed","Zdajetjsja, vona stikaje krov'ju...","It seems to trickle with blood...","",""
"status_weaken_combined","Oslablenyj","Weakened","",""
"statusdesc_weaken_combined","Vaši opory j zaxysni zdibnosti tymčasovo vymkneni.","Your resistances and protective perks are disabled temporarily.","",""
"damage_sun","Valo","Valo","Transliterate",""
"item_musicstone","Kuulokivi","Kuulokivi","Transliterate",""
"itemdesc_musicstone","Cej artefakt vkrytyj ğravijuvannjam u formi not i puljsuje v postijnomu tempi.\nCe zvuky viddalenoï muzyky?","This artefact is covered in note-shaped engravings and is pulsing at a steady pace.\nIs that the sound of distant music?","",""
"damage_darksun","Pimeys","Pimeys","Transliterate",""
"animal_fungus_tiny","Myrkkynääpikkä","Myrkkynääpikkä","Transliterate",""
"perkdesc_mega_beam_stone","Vy otrymujete artefakt, jakyj dozvoljaje vyklykaty nebesnu ljutj.","You gain an artefact that allows you to call the celestial rage.","",""
"animal_fungus_giga","Huhtasieni","Huhtasieni","Transliterate",""
"animal_fungus_big","Nuijamalikka","Nuijamalikka","Transliterate",""
"animal_fungus_tiny_perk","Sappitatti","Sappitatti","Transliterate",""
"reward_sun","Dobrozyčlyve sonjačne svitlo!","Benign sunshine!","",""
"action_sun","Stvorennja Soncja","Summon A Sun","",""
"actiondesc_sun","Stvorjuje nadzvyčajno potužnu sutnistj. Odnorazove","Creates an immensely powerful entity. Can be cast only once","",""
"action_darksun","Stvorennja temnoğo Soncja","Summon A Dark Sun","",""
"actiondesc_darksun","Stvorjuje nadzvyčajno potužnu sutnistj. Odnorazove","Creates an immensely powerful entity. Can be cast only once","",""
"achievement_excavationsite","Dosjağnuto vuğiljnyx kopalenj","Reached Coal Pits","Biome name localized as: biome_excavationsite","Coal Pits"
"achievementdesc_excavationsite","Dosjağnuto vuğiljnyx kopalenj","Reached Coal Pits","Biome name localized as: biome_excavationsite","Coal Pits"
"achievement_snowcave","Dosjağnuto zasniženyx ğlybyn","Reached Snowy Depths","Biome name localized as: biome_snowcave","Snowy Depths"
"achievementdesc_snowcave","Dosjağnuto zasniženyx ğlybyn","Reached Snowy Depths","Biome name localized as: biome_snowcave","Snowy Depths"
"achievement_snowcastle","Dosjağnuto bazy Hiisi","Reached Hiisi Base","Biome name localized as: biome_snowcastle","Hiisi Base"
"achievementdesc_snowcastle","Dosjağnuto bazy Hiisi","Reached Hiisi Base","Biome name localized as: biome_snowcastle","Hiisi Base"
"achievement_rainforest","Dosjağnuto pidzemnyx džunğliv","Reached Underground Jungle","Biome name localized as: biome_rainforest","Underground Jungle"
"achievementdesc_rainforest","Dosjağnuto pidzemnyx džunğliv","Reached Underground Jungle","Biome name localized as: biome_rainforest","Underground Jungle"
"achievement_vault","Dosjağnuto Sxovyŝe","Reached The Vault","Biome name localized as: biome_vault","The Vault"
"achievementdesc_vault","Dosjağnuto Sxovyŝe","Reached The Vault","Biome name localized as: biome_vault","The Vault"
"achievement_crypt","Dosjağnuto xramu Mystectva","Reached Temple of the Art","Biome name localized as: biome_crypt","Temple of the Art"
"achievementdesc_crypt","Dosjağnuto xramu Mystectva","Reached Temple of the Art","Biome name localized as: biome_crypt","Temple of the Art"
"achievement_victory","Peremoğa","Victory","“Completed the game”",""
"achievementdesc_victory","Peremoğa","Victory","“Completed the game”",""
"achievement_orbs","Zibrani usi znannja","Gathered All The Knowledge","",""
"achievementdesc_orbs","Zibrani usi znannja","Gathered All The Knowledge","",""
"achievement_progress_enemies","100% Proğres voroğiv","100% Enemy Progress","",""
"achievementdesc_progress_enemies","100% Proğres voroğiv","100% Enemy Progress","",""
"achievement_progress_spells","100% Proğres zaklynanj","100% Spell Progress","",""
"achievementdesc_progress_spells","100% Proğres zaklynanj","100% Spell Progress","",""
"achievement_progress_perks","100% Proğres zdibnostej","100% Perk Progress","",""
"achievementdesc_progress_perks","100% Proğres zdibnostej","100% Perk Progress","",""
"achievement_impressed","Boğy vraženi","The Gods Are Impressed","",""
"achievementdesc_impressed","Boğy vraženi","The Gods Are Impressed","",""
"achievement_afraid","Boğy naljakani","The Gods Are Afraid","",""
"achievementdesc_afraid","Boğy naljakani","The Gods Are Afraid","",""
"achievement_enraged","Boğy rozğnivani","The Gods Are Enraged","",""
"achievementdesc_enraged","Boğy rozğnivani","The Gods Are Enraged","",""
"action_nuke_giga","Ğiğantsjka jaderna bomba","Giga Nuke","",""
"actiondesc_nuke_giga","Čoğo vy očikuvaly?","What do you expect?","",""
"action_bomb_holy_giga","Ğiğantsjka svjata bomba","Giga Holy Bomb","",""
"actiondesc_bomb_holy_giga","Biljša, a otže, svjatiša","Bigger and therefore holier","",""
"perkdesc_exploding_corpses","Voroğy vybuxajutj pislja smerti, ale vy nevrazlyvi do vybuxiv.","Enemies explode upon death, but you gain immunity to explosive damage.","",""
"animal_friend","Toveri","Toveri","Transliterate",""
"animal_wizard_homing","Kohdennusmestari","Kohdennusmestari","Transliterate",""
"animal_icemage","Pakkasukko","Pakkasukko","Transliterate",""
"building_altar_null","Anuljuučyj vivtar","Nullifying Altar","",""
"building_altar_always","Vivtar postijnosti","Permanence Altar","",""
"biomemodifierdesc_cool","Povitrja zdajetjsja nadzvyčajno xolodnym...","The air feels extremely cool...","",""
"animal_cook","Kokkihiisi","Kokkihiisi","Transliterate",""
"log_balance_1","Svit perebuvaje v rivnovazi","The world is at a balance","",""
"log_balance_2","Svit spotvorenyj","The world is corrupted","",""
"log_balance_3","Svit perenavantaženyj svitlom","The world is overburdened by light","",""
"log_balance_4","Svit u xaosi!","The world is in chaos!","",""
"perk_gas_blood","Krov z ğazu","Gas Blood","",""
"perkdesc_gas_blood","Vaša krov — leğkozajmystyj ğaz.","You bleed flammable gas instead of blood.","",""
"mat_healsand","Žyvyj porošok","Lively powder","",""
"mat_steel_strong","Zağartovana stalj","Hardened steel","",""
"damage_supernova","Nadnova","Supernova","",""
"biomemodifierdesc_sunlight","Vse svitytjsja tajemnyčym svitlom...!","Everything is glowing in a mysterious light...!","",""
"biomemodifierdesc_sundark","Tut panuje zlovisna atmosfera...!","There's an ominous atmosphere here...!","",""
"biomemodifierdesc_fog_of_war_clear_at_player","Tut jakosj poxmuro","It feels gloomy in here","",""
"ui_million_shorthand","$0M","$0M","As in 1,000,000 = 1M (M = Mega,Million)",""
"ui_thousand_shorthand","$0tys","$0K","As in 1,000 = 1K (K = Kilo, Thousand)",""
"menu_mods_modversion_newer","This mod has been built with a newer version of the modding interface.\nA newer version of the game might be required.\nOr maybe the mod developer is just using a new version of the game,\nand everything is compatible.","This mod has been built with a newer version of the modding interface.\nA newer version of the game might be required.\nOr maybe the mod developer is just using a new version of the game,\nand everything is compatible.","New sentence added.",""
"action_laser_emitter","Plazmovyj prominj","Plasma beam","Note – laser->plasma",""
"action_laser_emitter_thrower","Plazmove šou","Plasma show","Note – laser->plasma",""
"action_laser_cross","Plazmovyj prominj X","Plasma beam X","Note – laser->plasma",""
"actiondesc_laser_cross","Plazmovi promeni vylitajutj u X-podibnij formi","Plasma beams fly in an X-shaped pattern","Note – laser->plasma",""
"action_bounce_laser","Vidskok koncentrovanoğo svitla","Concentrated light bounce","Description: “Makes a projectile release a bundle of concentrated light as it bounces”",""
"perk_personal_laser","Personaljnyj plazmovyj prominj","Personal Plasma Beam","Note – laser->plasma",""
"perkdesc_personal_laser","U vas je postijnyj plazmovyj prominj, ale vy poviljniše čaklujete zaklynannja","You constantly fire a devastating plasma beam, but you fire spells much slower","Note – laser->plasma",""
"NEWTEXTSINCE20210316","","","",""
"itemdesc_book_music_b","“One in the pond\nOne in the tree\nOne on the ledge\nOne under the sun”","“One in the pond\nOne in the tree\nOne on the ledge\nOne under the sun”","",""
"menureleasenotes_noita10","Vitajemo v onovlenni «Epiloğ» dlja Noita!\nNoita kolysj bula u dočasnomu dostupi ta my xočemo peredaty vam vdjačnistj,\nvdjačnistj vsim tym, xto ğrav u Noita u perši ïï roky. Vaši vidğuky duže cinni dlja nas!\nA dlja vsix novyx ğravciv... Vitajemo ta bažajemo udači!\n- Rozrobnyky\n\nA perekladač djakuje vam za vykorystannja perekladu!","Welcome to Noita Epilogue Update!\nNoita used be an Early Access game, so we want to send a huge thank you to all of you\nwho played Noita during its first year. Your feedback has been invaluable!\nAnd to all the new Noita players... Welcome and best of luck!\n- Devs\n","",""
"menureleasenotes_noita11","Vitajemo v onovlenni «Epiloğ 2» dlja Noita!\nNoita kolysj bula u dočasnomu dostupi ta my xočemo peredaty vam vdjačnistj,\nvdjačnistj vsim tym, xto ğrav u Noita u perši ïï roky. Vaši vidğuky duže cinni dlja nas!\nA dlja vsix novyx ğravciv... Vitajemo ta bažajemo udači!\n- Rozrobnyky\n\nA perekladač djakuje vam za vykorystannja perekladu!","Welcome to Noita Epilogue 2 Update!\nNoita used be an Early Access game, so we want to send a huge thank you to all of you\nwho played Noita during its first year. Your feedback has been invaluable!\nAnd to all the new Noita players... Welcome and best of luck!\n- Devs\n","",""
"menu_newgame_gamemodewithslotstooltip","Počnitj novu ğru abo prodovžitj zbereženu.","Start a new game or continue an existing save.","",""
"menu_newgame_saveandnewgame","Zbereğty potočnyj svit i počaty novu ğru","Save current world and start a new game","",""
"menu_main_continue_info","Prodovžyty: $0","Continue: $0","",""
"menu_saveslotselect_deleteslotfirst","Vydalitj svit u cij komirci,\nŝob rozpočaty novu ğru.","Delete the world in this slot\nto be able to start a new game.","",""
"menu_saveslotselect_continue","Prodovžyty cej svit.","Continue this world.","",""
"menu_saveslotselect_continuecurrent","Prodovžyty potočnyj svit.","Continue current world.","",""
"menu_saveslotselect_modnotfound_withname"," [Modyfikaciï ne znajdeno - $0]"," [Mod not found - $0]","",""
"menu_saveslotselect_modnotfound"," [Modyfikaciï ne znajdeno]"," [Mod not found]","",""
"menuoptions_steamcloud_warning_enabled","Poperedžennja pro rozmir zberežennja Steam Cloud: $0","Steam Cloud save size warning: $0","",""
"menuoptions_steamcloud_warning_limit","Poperedžennja pro rozmir zberežennja v Steam Cloud","Steam Cloud save size limit warning","",""
"menuoptions_steamcloud_warning_tooltip","Ğra poperedytj vas, jakŝo rozmir zberežennja perevyŝytj vkazanu sumu.","The game will warn you if the size of save data exceeds the given amount.","Max length: Around the length of english text",""
"menu_steamcloud_size_warning","Poperedžennja: Rozmir zberežennja ponad $0 MB.","Warning: Save size is over $0 MB.","Max length: Around the length of english text",""
"menu_steamcloud_size_warning_desc","Synxronizacija z Steam Cloud može zajnjaty bağato času.\nNatysnistj tut, ŝob vymknuty synxronizaciju z xmaroju.","Steam Cloud synchronization might take a long time.\nClick here to turn off Cloud sync.","Max length: Around the length of english text",""
"menu_steamcloud_filecount_warning","Poperedžennja: Dani zberežennja perevyŝujutj 10000 fajliv.","Warning: Save data exceeds 10000 files","Max length: Around the length of english text",""
"menu_steamcloud_filecount_warning_desc","Steam Cloud ne pidtrymuje stiljky fajliv.\nTak ničoğo ne vyjde.\nNatysnistj tut, ŝob vymknuty synxronizaciju z xmaroju.","Steam Cloud doesn't support that many files.\nThings probably aren't gonna work.\nClick here to turn off Cloud sync.","Max length: Around the length of english text",""
"menu_steamcloud_warning_turnoff_hint","(Vy možete vymknuty ce poperedžennja u nalaštuvannjax.)","(You can switch this warning off via Options.)","Max length: Around the length of english text",""
"biomemodifierdesc_invisibility","U vas raptom vynykly problemy z fokusuvannjam očej...","You suddenly have trouble focusing your eyes...","",""
"biomemodifierdesc_wormy","Zvidusilj čuty motorošne povzannja!","You hear creepy crawling everywhere!","",""
"item_tntbox","Vybuxovyj jaŝyk","Explosive box","",""
"item_tntbox_big","Velykyj vybuxovyj jaŝyk","Large explosive box","",""
"item_book_essences","Tom esencij","Tome of Essences","",""
"itemdesc_book_essences","”The four Essences represent the four Elements that form this visible World...\nImbued with their Terrible Power, one may do great deeds,\nbut one should be Afraid of their destructive Might. To this end,\nwe have Devised a way to remove these Dangerous Forces; seek it in the West and East.\n\nA Legend also tells that all the Elements originated from the Egg of Sky and return to It one day...”","”The four Essences represent the four Elements that form this visible World...\nImbued with their Terrible Power, one may do great deeds,\nbut one should be Afraid of their destructive Might. To this end,\nwe have Devised a way to remove these Dangerous Forces; seek it in the West and East.\n\nA Legend also tells that all the Elements originated from the Egg of Sky and return to It one day...”","",""
"action_black_hole_giga","Omeğa čorna dira","Omega Black Hole","",""
"actiondesc_black_hole_giga","Navitj svitlo kolysj vmyraje...","Even light dies eventually...","",""
"animal_firemage_big","Suurstendari","Suurstendari","Transliterate",""
"itemdesc_book_hint","”One of my brethren ran away in order to escape our predicament ...\nThey felt our understanding of this world was to be forbidden.\nThey hid something here, in this room, but...\n...I lack the ability to truly see what is here!”","”One of my brethren ran away in order to escape our predicament ...\nThey felt our understanding of this world was to be forbidden.\nThey hid something here, in this room, but...\n...I lack the ability to truly see what is here!”","",""
"NEWTEXTSINCE20210407","","","",""
"input_mousebutton4","Myša 4","Mouse 4","for keybinds. Refers to 4th mouse button",""
"input_mousebutton5","Myša 5","Mouse 5","for keybinds. Refers to 5th mouse button",""
"perkdesc_breath_underwater","Vy biljše ne zadyxajetesja ta možete leğko ruxatysja u ridynax.","You can no longer drown, and can move in liquids with ease.","",""
"action_blood_to_power","Krov u sylu","Blood to Power","",""
"actiondesc_blood_to_power","Snarjad zavdaje biljše škody cinoju 20% vašoğo zdorov'ja","A projectile gains additional damage at the cost of 20% of your health","",""
"action_meat_to_power","M'jaso v sylu","Meat to Power","",""
"actiondesc_meat_to_power","Daje snarjadu zdatnistj poğlynaty krov ta m'jaso poblyzu, zbiljšujučy joğo škodu","Gives a projectile the ability to suck up nearby blood and meat, increasing its damage","",""
"action_toxic_to_power","Toksyn u sylu","Toxic Power","",""
"actiondesc_toxic_to_power","Daje snarjadu zdatnistj poğlynaty toksyčnyj osad ta otrutu poblyzu, zbiljšujučy joğo škodu","Gives a projectile the ability to suck up nearby toxic sludge and poison, increasing its damage","",""
"item_book_diamond","Knyğa pro koštovnistj","Book of the Jewel","",""
