"","ukr","en","","","NOTES – use \n for newline","max length"
"action_cloud_oil","Oil cloud","Oil cloud","","","",""
"actiondesc_cloud_oil","Creates a rain of oil","Creates a rain of oil","","","",""
"menu_streaming_hidevotecounts","Приховати лічильник голосів під час голосування: $0","Hide vote counts during voting: $0","","","",""
"menu_streaming_uiposleft","Position UI to the left side of the screen: $0","Position UI to the left side of the screen: $0","","","",""
"menu_streaming_uiposleft_hint","EXPERIMENTAL: UI might sometimes look funny","EXPERIMENTAL: UI might sometimes look funny","","","",""
"log_alchemist_key_alt_first","The key listens...","The key listens...","","","",""
"logdesc_alchemist_key_alt_first","It's taking in the music.","It's taking in the music.","","","",""
"log_alchemist_key_alt_second","The key has taken in the full song","The key has taken in the full song","","","",""
"logdesc_alchemist_key_alt_second","It's ready.","It's ready.","","","",""
"log_alchemist_key_alt_reward","The chest opens!","The chest opens!","","","",""
"logdesc_alchemist_key_alt_reward","But the key might have other stories to tell...","But the key might have other stories to tell...","","","",""
"animal_greed_ghost","Ghost of Greed","Ghost of Greed","","","",""
"item_essence_greed","Eternal Wealth","Eternal Wealth","","","",""
"itemdesc_essence_greed","You gain more gold but a curse will haunt you","You gain more gold but a curse will haunt you","","","",""
"log_greed_curse_away","You feel that the curse has disappeared","You feel that the curse has disappeared","","","",""
"logdesc_greed_curse_away","But for how long?","But for how long?","","","",""
"mat_templebrick_golden_static","Fool's gold","Fool's gold","","","",""
"biome_greed_room","Залу багатства","Hall of Wealth","","","",""
"log_greed_curse_back","The curse returns!","The curse returns!","","","",""
"menuoptions_cosmeticparticlecoeff","Cosmetic particle amount","Cosmetic particle amount","","","",""
"menuoptions_cosmeticparticlecoeff_hint","Particle amount will be reduced at this rate if there are lots of particles","Particle amount will be reduced at this rate if there are lots of particles","","","",""
"menuoptions_ui_snappy_hover_boxes","Анімація при наведенні на елементи в інвентарі: $0","Inventory hover box animations: $0","","","",""
"biomemodifierdesc_plant_infested","It smells like soil after rain","It smells like soil after rain","","","",""
"biomemodifierdesc_mechanical","You can hear the sounds of machinery","You can hear the sounds of machinery","","","",""
"biomemodifierdesc_furnished","It feels cozy in here","It feels cozy in here","","","",""
"biomemodifierdesc_booby_trapped","You feel wary","You feel wary","","","",""
"biomemodifierdesc_perforated","Тут доволі просторо","It feels roomy in here","","","",""
"biomemodifierdesc_tunneled","You can hear faint sounds of construction","You can hear faint sounds of construction","","","",""
"biomemodifierdesc_hiisi_invasion","You can hear Hiisi grunts from the distance","You can hear Hiisi grunts from the distance","","","",""
"biomemodifierdesc_pipes","You can hear someone clanging on metal pipes","You can hear someone clanging on metal pipes","","","",""
"biomemodifierdesc_spooky","The hair in the back of your neck stands up","The hair in the back of your neck stands up","","","",""
"biomemodifierdesc_twisted","It feels like your head is spinning","It feels like your head is spinning","","","",""
"biomemodifierdesc_cheery","Ви відчуваєте бадьорість","You feel cheery","","","",""
"biomemodifierdesc_ominous","Тут якось зловісно","It feels ominous in here","","","",""
"mat_templebrick_diamond_static","Diamond brickwork","Diamond brickwork","","","",""
"log_alchemist_chest_opened_alt","The chest opens again","The chest opens again","","","",""
"logdesc_alchemist_chest_opened_alt","It still remembers the song.","It still remembers the song.","","","",""
"animal_thunderskull","Sähkiö","Sähkiö","","","","transliterate"
"item_chest_light","Coral chest","Coral chest","","","",""
"item_mega_beam_stone","Sädekivi","Sädekivi","","","","transliterate"
"itemdesc_mega_beam_stone","This artefact has a picture of a celestial beam.","This artefact has a picture of a celestial beam.","","","",""
"log_beam_stone","You feel like you should move...","You feel like you should move...","","","",""
"logdesc_beam_stone","Something terrible is going to happen","Something terrible is going to happen","","","",""
"damage_plasmabeam","плазмовий промінь","plasma beam","","","",""
"biomemodifierdesc_hot","Повітря здається гарячим","The air feels hot","","","",""
"mat_meat_spider","spider meat","spider meat","","","",""
"mat_blood_spider","spider blood","spider blood","","","",""
"mat_blood_frog","frog blood","frog blood","","","",""
"release_notes_10_highlights","HIGHLIGHTS:\nNew Daily Practice Run game mode.\nTwitch integration - let stream viewers make your game even more more chaotic.\nBiome modifiers - biomes are sometimes a bit different from the usual form.\nSome biomes have simulated temperature effects.\nLots of gameplay and UI tweaks and additions.\nVisual and audio enhancements.\nNew spells, perks, enemies, materials, secrets, sounds and more.\nOver 15 new music music tracks: Underground Jungle, Vault, Temple of the Art and more.\nPerformance optimizations and bug fixes.\nOptions menu overhaul.","HIGHLIGHTS:\nNew Daily Practice Run game mode.\nTwitch integration - let stream viewers make your game even more more chaotic.\nBiome modifiers - biomes are sometimes a bit different from the usual form.\nSome biomes have simulated temperature effects.\nLots of gameplay and UI tweaks and additions.\nVisual and audio enhancements.\nNew spells, perks, enemies, materials, secrets, sounds and more.\nOver 15 new music music tracks: Underground Jungle, Vault, Temple of the Art and more.\nPerformance optimizations and bug fixes.\nOptions menu overhaul.","","","",""
"continue_10_warning","We HIGHLY recommend that you don't try to load pre-1.0 saves. Everything will be broken and the gods will most definitely be angry.","We HIGHLY recommend that you don't try to load pre-1.0 saves. Everything will be broken and the gods will most definitely be angry.","","","",""
"release_notes_title","СПИСОК ЗМІН","RELEASE NOTES","","","",""
"NEWTEXTSINCE20201013","","","","","",""
"menuoptions_configurecontrols_keyname_unknown","Unknown","Unknown","","","",""
"menuoptions_configurecontrols_action_unbound","Відв'язати","Unbound","","","",""
"menuoptions_configurecontrols_binding_primary","Primary","Primary","","","",""
"menuoptions_configurecontrols_binding_secondary","Secondary","Secondary","","","",""
"menuoptions_configurecontrols_pressakey","Натисніть щось","Press something","","","","Press key or button"
"input_mouseleft","Mouse left","Mouse left","","","",""
"input_mouseright","ПКМ","Mouse right","","","",""
"input_mousemiddle","СКМ","Mouse middle","","","",""
"input_mousewheelup","Прокручування вверх","Mouse wheel up","","","",""
"input_mousewheeldown","Прокручування вниз","Mouse wheel down","","","",""
"input_space","Пробіл","Space","","","",""
"input_tab","TAB","TAB","","","",""
"input_xboxbutton_start","СТАРТ","START","","","",""
"input_xboxbutton_select","SELECT","SELECT","","","",""
"format_keybinding","[$0]","[$0]","","","","For example “Press [E] to pick 'Wand'”"
"biome_orbroom","Приміщення сфери","Orb room","","","",""
"menugameover_causeofdeath_killer_cause","$1 $0","$0's $1","","","",""
"menugameover_causeofdeath_killer_cause_name_ends_in_s","$1 $0","$0' $1","","","",""
"item_heart_cursed","Обране додаткове макс. здоров'я","Cursed extra max health","","","",""
"log_worldseed","Ключ генерації: $0","Seed: $0","","","",""
"menupause_worldseed","Ключ генерації: $0","Seed: $0","","","",""
"menupause_gamemode","Режим: $0","Mode: $0","","","",""
"menupause_location","Місцеположення: $0","Location: $0","","","",""
"menupause_modsused","Використання модифікацій: так","Mods used: yes","","","","Mods as in game modifications"
"menugameover_record","РЕКОРД!","RECORD!","","","","as in world record"
"dailyrun_time_left_hoursminutesseconds","Залишилось часу: $0:$1.$0","Time left: $0:$1.$0","","","",""
"dailyrun_dateformat_0day_1month_2year","$0 $1 $2","$0 $1 $2","","","",""
"month_0","Січень","Jan","","","",""
"Month_1","Лютий","Feb","","","",""
"Month_2","Березень","Mar","","","",""
"Month_3","Квітень","Apr","","","",""
"Month_4","Травень","May","","","",""
"Month_5","Червень","Jun","","","",""
"Month_6","Липень","Jul","","","",""
"Month_7","Серпень","Aug","","","",""
"Month_8","Sep","Sep","","","",""
"Month_9","Oct","Oct","","","",""
"Month_10","Nov","Nov","","","",""
"Month_11","Dec","Dec","","","",""
"credits_and","AND","AND","","","",""
"credits_sound","SOUND DESIGN, MUSIC LEAD AND MIXING","SOUND DESIGN, MUSIC LEAD AND MIXING","","","",""
"credits_musiccomposed","MUSIC COMPOSED AND PERFORMED BY","MUSIC COMPOSED AND PERFORMED BY","","","",""
"credits_musicrecording","MUSIC RECORDING, MIXING AND MASTERING\nPetri Majuri at E-studio","MUSIC RECORDING, MIXING AND MASTERING\nPetri Majuri at E-studio","","","",""
"credits_localization","LOCALIZATION","LOCALIZATION","","","",""
"credits_localization2","LOCALIZATION & QA","LOCALIZATION & QA","","","",""
"credits_marketingandpr","MARKETING & PR","MARKETING & PR","","","",""
"credits_marketingandpr2","MARKETING & PR CONSULTATION","MARKETING & PR CONSULTATION","","","",""
"credits_marketingandpr3","EXTERNAL MARKETING & PR","EXTERNAL MARKETING & PR","","","",""
"credits_10trailers","1.0 TRAILER EDITORS","1.0 TRAILER EDITORS","","","",""
"credits_10trailers2","1.0 LAUNCH TRAILERS BY","1.0 LAUNCH TRAILERS BY","","","",""
"credits_testingandadditionalwork","TESTING & ADDITIONAL WORK","TESTING & ADDITIONAL WORK","","","",""
"credits_testing","ТЕСТУВАННЯ","TESTING","","","",""
"credits_thankyou","ДЯКУЮ ВАМ","THANK YOU","","","",""
"credits_thankyou_andyou","...та тобі!","...And You!","","","",""
"credits_crypticscores","CRYPTIC HIGHSCORES","CRYPTIC HIGHSCORES","","","","as in these people managed to crack the game's secret encrypted data format but were kind enough to not leak it's secrets"
"credits_falling","Noita is powdered by the Falling Everything Engine\nNoita uses FMOD Studio by Firelight Technologies Pty Ltd","Noita is powdered by the Falling Everything Engine\nNoita uses FMOD Studio by Firelight Technologies Pty Ltd","","","","powdered by is a pun on powered by. Can be translated as powered by if language has no such pun"
"credits_licenses","Please see licenses/Attributions.txt for Creative Commons attribution list.","Please see licenses/Attributions.txt for Creative Commons attribution list.","","","",""
"format_timer","$0.$1","$0.$1","","","","Seconds.Milliseconds "
"menustreaming_nsa","Будь ласка, увімкніть  Мережеві функції, щоб скористатися цією функцією.","Please turn on Online features to use this feature.","","","",""
"menu_oldsave_verybroken0","Виявлено старе збереження.","Old save detected.","","","",""
"menu_oldsave_verybroken1","We HIGHLY recommend that you don't try to load pre 1.0 saves. Everything will be broken and the Gods will most definitely be angry.","We HIGHLY recommend that you don't try to load pre 1.0 saves. Everything will be broken and the Gods will most definitely be angry.","","","",""
"menu_oldsave_verybroken2","Виявлено старе збереження","Old save detected","","","",""
"NEWTEXTSINCE20201015","","","","","",""
"item_kantele","Kantele","Kantele","","","",""
"item_ocarina","Huilu","Huilu","","","",""
"bookdesc02_forged","The essence of life and death.","The essence of life and death.","","","doesn't need to be translated",""
"bookdesc04_forged","Prove thine knowledge,\n from what is the west created of.","Prove thine knowledge,\n from what is the west created of.","","","doesn't need to be translated",""
"bookdesc05_forged","Prove thine knowledge,\n from what is the east created of.","Prove thine knowledge,\n from what is the east created of.","","","doesn't need to be translated",""
"bookdesc06_forged","To have true knowledge\n is to see in the darkness of ignorance.","To have true knowledge\n is to see in the darkness of ignorance.","","","doesn't need to be translated",""
"bookdesc07_forged","To gain true knowledge,\n one must slow down and not hurry.","To gain true knowledge,\n one must slow down and not hurry.","","","doesn't need to be translated",""
"bookdesc08_forged","Awaken, the flock of the shepherd and think for thyself!","Awaken, the flock of the shepherd and think for thyself!","","","doesn't need to be translated",""
"bookdesc09_forged","To walk a mile in someone else's boots.","To walk a mile in someone else's boots.","","","doesn't need to be translated",""
"bookdesc10_forged","True knowledge is a slippery thing.\nThe unfortunate side effect of our divine stone.","True knowledge is a slippery thing.\nThe unfortunate side effect of our divine stone.","","","doesn't need to be translated",""
"stat_prev_best","($0)","$0.00","","","",""
"action_meteor_rain","Meteorisade","Meteorisade","","","",""
"actiondesc_meteor_rain","Alea iacta est","Alea iacta est","","","",""
"action_worm_rain","Matosade","Matosade","","","",""
"actiondesc_worm_rain","Alea iacta est","Alea iacta est","","","",""
"animal_boss_pit","Sauvojen tuntija","Sauvojen tuntija","","","",""
"NEWTEXTSINCE20201124","","","","","",""
"animal_wand","Wand","Wand","","","",""
"animal_enlightened_laser_dark_wand","Dark wand","Dark wand","","","",""
"animal_enlightened_laser_elec_wand","Thunder wand","Thunder wand","","","",""
"animal_enlightened_laser_fire_wand","Fire wand","Fire wand","","","",""
"animal_enlightened_laser_light_wand","Glowing wand","Glowing wand","","","",""
"perk_high_gravity","High Gravity","High Gravity","","","",""
"perkdesc_high_gravity","All creatures, you included, have higher personal gravity.","All creatures, you included, have higher personal gravity.","","","",""
"streamingevent_heal_ghost","Summon Healing Ghosts","Summon Healing Ghosts","","","",""
"streamingeventdesc_heal_ghost","You get a few healing ghost friends","You get a few healing ghost friends","","","",""
"streamingevent_player_gas","Excess Gas","Excess Gas","","","",""
"streamingeventdesc_player_gas","Your body exudes flammable gas for a time","Your body exudes flammable gas for a time","","","",""
"streamingevent_areadamage_player","Personal Contact Damage","Personal Contact Damage","","","",""
"streamingeventdesc_areadamage_player","You gain a contact damage -dealing field for a time","You gain a contact damage -dealing field for a time","","","",""
"streamingevent_areadamage_enemy","Enemy Contact Damage","Enemy Contact Damage","","","",""
"streamingeventdesc_areadamage_enemy","Enemies gain a contact damage -dealing field for a time","Enemies gain a contact damage -dealing field for a time","","","",""
"streamingevent_twitchy","Twitchy!","Twitchy!","","","",""
"streamingeventdesc_twitchy","You have trouble controlling your wand for a time","You have trouble controlling your wand for a time","","","",""
"streamingevent_spawn_perk","Gain Random Perk","Gain Random Perk","","","",""
"streamingeventdesc_spawn_perk","You're granted a random perk","You're granted a random perk","","","",""
"streamingevent_shield_ghost","Summon Shielding Ghost","Summon Shielding Ghost","","","",""
"streamingeventdesc_shield_ghost","You get a shielding ghost friend","You get a shielding ghost friend","","","",""
"streamingevent_matter_eater","Matter Eater","Matter Eater","","","",""
"streamingeventdesc_matter_eater","All projectiles eat up the ground for a time","All projectiles eat up the ground for a time","","","",""
"streamingevent_invisible_player","Personal Invisibility","Personal Invisibility","","","",""
"streamingeventdesc_invisible_player","You become invisible for a time","You become invisible for a time","","","",""
"streamingevent_invisible_enemy","Invisible Enemies","Invisible Enemies","","","",""
"streamingeventdesc_invisible_enemy","Enemies become invisible for a time","Enemies become invisible for a time","","","",""
"streamingevent_neutralized","Neutralized Spells","Neutralized Spells","","","",""
"streamingeventdesc_neutralized","All projectiles near you become neutralized for a time","All projectiles near you become neutralized for a time","","","",""
"streamingevent_high_spread","Extreme Spread","Extreme Spread","","","",""
"streamingeventdesc_high_spread","All projectiles have very high spread for a time","All projectiles have very high spread for a time","","","",""
"streamingevent_bubble","Safety bubble","Safety bubble","","","",""
"streamingeventdesc_bubble","You're encased in a safe bubble for a time","You're encased in a safe bubble for a time","","","",""
"streamingevent_spawn_perk_enemy","Give Perks To Enemies","Give Perks To Enemies","","","",""
"streamingeventdesc_spawn_perk_enemy","Nearby enemies get random perks","Nearby enemies get random perks","","","",""
"animal_wizard_twitchy","Sätkymestari","Sätkymestari","","","Transliterate",""
"status_twitchy","Twitchy","Twitchy","","","",""
"statusdesc_twitchy","Your hand spasms randomly and your spells can hurt you!","Your hand spasms randomly and your spells can hurt you!","","","",""
"mat_meat_fast","Wobbly meat","Wobbly meat","","","",""
"hud_wand_castdelay","Cast delay: $0 s","Cast delay: $0 s","","","",""
"gamemode_dailyrun_desc_offline_mode","Offline Daily Run\nThe seed is different from the Online Daily Run.\nBut you can play this seed as many times as you like\nwithin the 24 hours.\n","Offline Daily Run\nThe seed is different from the Online Daily Run.\nBut you can play this seed as many times as you like\nwithin the 24 hours.\n","","","",""
"biomemodifierdesc_gravity_fields","Ви відчуваєте, як невидима сила штовхає і тягне вас","You feel an invisible force pushing and pulling you","","","",""
"biomemodifierdesc_fungal","Повітря наповнене грибковими спорами","The air is filled with fungal spores","","","",""
"damage_physicshit","heavy impact","heavy impact","","","",""
"menuoptions_steamcloud","Steam Cloud: $0","Steam Cloud: $0","","","",""
"menuoptions_enableall","Увімкнути все","Enable all","","","",""
"menuoptions_disableall","Вимкнути все","Disable all","","","",""
"menu_streaming_usernames_visible","Creatures can be named after viewers: $0","Creatures can be named after viewers: $0","","","",""
"menu_mods_modversion_newer","This mod has been built with a newer version of the modding interface.\nA newer version of the game might be required.","This mod has been built with a newer version of the modding interface.\nA newer version of the game might be required.","","","",""
"menu_mods_settings","Налаштування модифікацій","Mod settings","","","",""
"menu_modsettings_changes_restart","Changes will be applied when you restart the game.","Changes will be applied when you restart the game.","","","",""
"menu_modsettings_changes_worldgen","Зміни будуть застосовані коли ви розпочнете нову гру.","Changes will be applied when you start a new game.","","","",""
"menu_mods_nosettings","Увімкнені модифікації не мають налаштувань.","Enabled mods have no settings.","","","",""
"biomemodifierdesc_shielded","Це місце здається винятково безпечним","This place feels exceptionally secure","","","",""
"mat_rock_static_cursed_green","Greed-cursed rock","Greed-cursed rock","","","",""
"mat_cursed_liquid","Greed-cursed liquid","Greed-cursed liquid","","","",""
"animal_statue_physics","Hohtonaamio","Hohtonaamio","","","Transliterate",""
"streamingevent_transform_nukes","Projectiles Into Nukes","Projectiles Into Nukes","","","",""
"log_greed_curse_away_full","The curse relents.","The curse relents.","","","",""
"logdesc_greed_curse","You gain 3x gold, but are terribly cursed!","You gain 3x gold, but are terribly cursed!","","","",""
"item_greed_crystal","Greed-cursed crystal","Greed-cursed crystal","","","",""
"log_moon_altar_extra","The gods are confused","The gods are confused","","","",""
"logdesc_moon_altar_extra","What is that?!","What is that?!","","","",""
"itemdesc_alchemy_key_musicbox_1","The key remembers a song.","The key remembers a song.","","","",""
"itemdesc_alchemy_key_musicbox_2","The key remembers two songs.","The key remembers two songs.","","","",""
"itemdesc_alchemy_key_musicbox_3","The key remembers three songs.","The key remembers three songs.","","","",""
"itemdesc_alchemy_key_musicbox_4","The key is ready.","The key is ready.","","","",""
"perk_exploding_gold","Exploding Gold","Exploding Gold","","","",""
"perkdesc_exploding_gold","Самородки золота вибухають, якщо вони зникають або якщо їх підібрати.","Nuggets of gold explode once they expire or are picked up.","","","",""
"action_quantum_split","Quantum Split","Quantum Split","","","",""
"actiondesc_quantum_split","Makes a projectile split into three projectiles whose existences are entangled","Makes a projectile split into three projectiles whose existences are entangled","","","",""
"log_fasttravel","A portal appears!","A portal appears!","","","",""
"logdesc_fasttravel","This could be useful...","This could be useful...","","","",""
"perk_fast_projectiles","Faster Projectiles","Faster Projectiles","","","",""
"perkdesc_fast_projectiles","Your projectile spells fly faster than before.","Your projectile spells fly faster than before.","","","",""
"action_chain_shot","Chain Spell","Chain Spell","","","",""
"actiondesc_chain_shot","Causes a projectile to cast a copy of itself upon expiring, up to 5 times","Causes a projectile to cast a copy of itself upon expiring, up to 5 times","","","",""
"action_teleport_projectile_short","Маленький телепортаційний снаряд","Small Teleport Bolt","","","",""
"actiondesc_teleport_projectile_short","A shortlived magical bolt that moves you wherever it ends up flying","A shortlived magical bolt that moves you wherever it ends up flying","","","",""
"perk_worm_smaller_holes","Remove Worm & Lukki Digging","Remove Worm & Lukki Digging","","","",""
"perkdesc_worm_smaller_holes","Worms and lukkis no longer destroy ground while burrowing.","Worms and lukkis no longer destroy ground while burrowing.","","","",""
"perk_worm_bigger_holes","More Worm Digging","More Worm Digging","","","",""
"perkdesc_worm_bigger_holes","Worms now dig a larger area around them.","Worms now dig a larger area around them.","","","",""
"animal_homunculus","Homunculus","Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus","Summon Random Homunculi","Summon Random Homunculi","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus","A group of helpful little homunculi appears to aid you","A group of helpful little homunculi appears to aid you","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_dark","Summon Digging Homunculus","Summon Digging Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_dark","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_fire","Summon Fiery Homunculus","Summon Fiery Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_fire","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_heal","Summon Healer Homunculus","Summon Healer Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_heal","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_laser","Summon Glowing Homunculus","Summon Glowing Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_laser","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_punch","Summon Puncher Homunculus","Summon Puncher Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_punch","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"actiondesc_divide_2","Casts the next spell twice, but with reduced damage","Casts the next spell twice, but with reduced damage","","","",""
"actiondesc_divide_3","Casts the next spell 3 times, but with reduced damage","Casts the next spell 3 times, but with reduced damage","","","",""
"actiondesc_divide_4","Casts the next spell 4 times, but with reduced damage","Casts the next spell 4 times, but with reduced damage","","","",""
"actiondesc_divide_10","Чаклує наступне заклинання 10 разів, але з меншою шкодою","Casts the next spell 10 times, but with reduced damage","","","",""
"action_mu","Mu","Mu","","","Greek letter; do not translate",""
"actiondesc_mu","Every modifier-type spell in the current wand is applied to a projectile","Every modifier-type spell in the current wand is applied to a projectile","","","",""
"action_reset","Wand Refresh","Wand Refresh","","","",""
"actiondesc_reset","Reloads the wand immediately","Reloads the wand immediately","","","",""
"perk_extra_slots","Більша місткість паличок (Одноразово)","Extra Wand Capacity (One-off)","","","",""
"perkdesc_extra_slots","The wands you're currently carrying gain 1-3 additional spell slots (to a maximum of 25).","The wands you're currently carrying gain 1-3 additional spell slots (to a maximum of 25).","","","",""
"perk_teleportitis_dodge","Teleportitis Dodge","Teleportitis Dodge","","","",""
"perkdesc_teleportitis_dodge","You teleport a short distance away when an enemy projectile is near.","You teleport a short distance away when an enemy projectile is near.","","","",""
"perk_extra_mana","Більше мани, менша місткість (Одноразово)","High Mana, Low Capacity (One-off)","","","",""
"perkdesc_extra_mana","Your currently held wand loses half its capacity, but gains more mana.","Your currently held wand loses half its capacity, but gains more mana.","","","",""
"perk_homunculus","Homunculus","Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"perkdesc_homunculus","Every time you leave a Holy Mountain, a helpful homunculus is summoned.","Every time you leave a Holy Mountain, a helpful homunculus is summoned.","","","Homunculus - alchemically created small humanoid creature ",""
"action_larpa_death","Larpa Explosion","Larpa Explosion","","","",""
"actiondesc_larpa_death","A projectile will shoot out 8 copies of itself when it expires or hits the ground","A projectile will shoot out 8 copies of itself when it expires or hits the ground","","","",""
"action_bounce_larpa","Larpa Bounce","Larpa Bounce","","","",""
"actiondesc_bounce_larpa","A projectile will launch a copy of itself when it bounces","A projectile will launch a copy of itself when it bounces","","","",""
"log_homunculus","A homunculus is summoned!","A homunculus is summoned!","","","",""
"perkdesc_plague_rats","Dying enemies release rats to serve your bidding! All rats become your friend.","Dying enemies release rats to serve your bidding! All rats become your friend.","","","",""
"animal_wizard_hearty","Haavoittajamestari","Haavoittajamestari","","","Transliterate",""
"status_hearty","Heartache","Heartache","","","",""
"statusdesc_hearty","Your maximum health is temporarily halved.","Your maximum health is temporarily halved.","","","",""
"item_safe_haven","Kammi","Kammi","","","doesn't need to be translated",""
"item_description_safe_haven","Can be thrown to summon a cozy hut","Can be thrown to summon a cozy hut","","","",""
"item_kakka","Kakkakikkare","Kakkakikkare","","","Transliterate",""
"itemdesc_kakka","This mysterious spiral-shaped artefact smells horrible and feels warm to the touch","This mysterious spiral-shaped artefact smells horrible and feels warm to the touch","","","",""
"mat_feces","Feces","Feces","","","",""
"mat_gas_smelly","Smelly vapour","Smelly vapour","","","",""
"actiondesc_destruction","Instantly decimates foes around you, at the cost of your HP","Instantly decimates foes around you, at the cost of your HP","","","",""
"perk_faster_wands","Швидші палички (Одноразово)","Faster Wands (One-off)","","","",""
"perk_always_cast","Always Cast (One-off)","Always Cast (One-off)","","","",""
"perkdesc_always_cast","A random Always Cast spell is added to the wand in your hand, up to a maximum of 4.","A random Always Cast spell is added to the wand in your hand, up to a maximum of 4.","","","",""
"mat_peat","Торф","Peat","","","",""
"animal_drone_shield","Turvalennokki","Turvalennokki","","","Transliterate",""
"perkdesc_bleed_slime","Ваша кров - слиз та слиз більше не сповільнює вас, і ви маєте більший опір снарядам.","You bleed slime, but slime no longer slows you down and you have higher projectile resistance.","","","",""
"perkdesc_bleed_oil","Ваша кров тепер легкозаймиста нафта, але ви маєте більший опір вибухам.","You bleed flammable oil, but you have higher explosive resistance.","","","",""
"animal_wizard_weaken","Turvattomuusmestari","Turvattomuusmestari","","","Transliterate",""
"animal_wizard_wither","Kuihduttajamestari","Kuihduttajamestari","","","Transliterate",""
"status_weaken","Vulnerable","Vulnerable","","","",""
"statusdesc_weaken","Your protective perks are temporarily disabled.","Your protective perks are temporarily disabled.","","","",""
"mat_meat_fruit","Fruit flesh","Fruit flesh","","","",""
"biome_wizardcave","Wizards' den","Wizards' den","","","",""
"action_zeta","Zeta","Zeta","","","Greek letter; do not translate",""
"actiondesc_zeta","Copies a random spell in another wand you're holding","Copies a random spell in another wand you're holding","","","",""
"perk_extra_hp","Більше здоров'я (Одноразово)","Extra Health (One-off)","","","",""
"perk_laser_aim","Pinpointer","Pinpointer","","","",""
"perkdesc_laser_aim","Your wand arm emits a beam to help with aiming!","Your wand arm emits a beam to help with aiming!","","","",""
"item_vasta","Vasta","Vasta","","","doesn't need to be translated",""
"item_vihta","Vihta","Vihta","","","doesn't need to be translated",""
"action_ball_lightning","Ball Lightning","Ball Lightning","","","",""
"actiondesc_ball_lightning","Summons three short range electrical orbs","Summons three short range electrical orbs","","","",""
"perk_low_recoil","Low Recoil","Low Recoil","","","",""
"perkdesc_low_recoil","Recoil caused by your spells is greatly reduced, but your spells fly slightly slower.","Recoil caused by your spells is greatly reduced, but your spells fly slightly slower.","","","",""
"perk_projectile_repulsion_sector","Projectile Repulsion Sector","Projectile Repulsion Sector","","","",""
"perkdesc_projectile_repulsion_sector","Projectiles that fly into a small sector in front of you get blown away.","Projectiles that fly into a small sector in front of you get blown away.","","","",""
"perk_projectile_eater_sector","Projectile Eater","Projectile Eater","","","",""
"perkdesc_projectile_eater_sector","Projectiles that fly into a small sector behind of you disappear.","Projectiles that fly into a small sector behind of you disappear.","","","",""
"status_wither","Withered","Withered","","","",""
"statusdesc_wither","You're temporarily more vulnerable to all damage types.","You're temporarily more vulnerable to all damage types.","","","",""
"perk_projectile_slow_field","Projectile Slower","Projectile Slower","","","",""
"perkdesc_projectile_slow_field","Projectiles near you slow down.","Projectiles near you slow down.","","","Transliterate",""
"action_nolla","Nolla","Nolla","","","",""
"actiondesc_nolla","The duration of a projectile is set to zero","The duration of a projectile is set to zero","","","",""
"item_wand_good_1","Wand of Swiftness","Wand of Swiftness","","","",""
"item_wand_good_2","Wand of Destruction","Wand of Destruction","","","",""
"item_wand_good_3","Wand of Multitudes","Wand of Multitudes","","","",""
"perkdesc_bleed_oil","You bleed flammable oil, but are immune to fire.","You bleed flammable oil, but are immune to fire.","","","",""
"perkdesc_revenge_explosion","You release a magical explosion upon taking damage, and gain 25% resistance against explosions.","You release a magical explosion upon taking damage, and gain 25% resistance against explosions.","","","",""
"perkdesc_revenge_tentacle","You summon a monstrous tentacle upon taking damage, and gain 25% resistance against projectiles.","You summon a monstrous tentacle upon taking damage, and gain 25% resistance against projectiles.","","","",""
"perkdesc_revenge_projectile","You return projectiles back to enemies upon taking damage, and gain 20% resistance against projectiles & explosions.","You return projectiles back to enemies upon taking damage, and gain 20% resistance against projectiles & explosions.","","","",""
"perkdesc_bounce","Almost all your spells bounce around and last longer.","Almost all your spells bounce around and last longer.","","","",""
"perkdesc_low_gravity","All creatures, you included, have lower personal gravity.","All creatures, you included, have lower personal gravity.","","","",""
